City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Bima,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
353,Manokwari,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
354,Musoma,TZ,63.01,overcast clouds,-7.5167,31.05,Manyovu Lodge
357,Hit,IQ,53.53,broken clouds,33.6416,42.8251,صالون زيرو
359,Dong Hoi,VN,57.2,mist,16.4667,107.6,Saigon Morin Hotel
360,Pisco,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
363,Kukes,AL,39.0,overcast clouds,42.0769,20.4219,Hotel ''LUMA''
366,Vardo,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
367,Coquimbo,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
368,Cortez,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
371,Upington,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
372,Bargal,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
373,Bangui,IT,50.0,broken clouds,40.922,14.5329,Pamaran Hotel
375,Nchelenge,ZM,72.7,overcast clouds,-9.3451,28.734,KD Travellers Home
377,Jeremie,HT,81.03,broken clouds,18.65,-74.1167,Auberge’Inn
379,Palembang,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
381,Kattivakkam,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
382,Labuhan,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
387,Lorengau,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
389,Nizwa,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
392,Nemuro,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
393,Rawson,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
394,Massakory,SA,59.0,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
