City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Yellowknife,CA,2021-01-09 16:31:49,62.456,-114.3525,10.4,92,75,8.05
127,Tiarei,PF,2021-01-09 16:34:18,-17.5333,-149.3333,78.8,69,40,4.61
128,Macenta,GN,2021-01-09 16:34:18,8.5435,-9.471,88.7,34,61,1.92
129,Marzuq,YE,2021-01-09 16:34:18,14.4,46.4667,58.17,36,0,3.71
130,Marsh Harbour,BS,2021-01-09 16:34:18,26.5412,-77.0636,65.59,67,45,17.36
131,Mareeba,AU,2021-01-09 16:34:18,-17.0,145.4333,77.0,94,99,1.14
132,Santa Maria,BR,2021-01-09 16:34:18,-29.6842,-53.8069,95.0,29,20,8.05
133,Alyangula,AU,2021-01-09 16:34:18,-13.8483,136.4192,80.6,100,39,7.58
134,Hami,CN,2021-01-09 16:34:18,42.8,93.45,11.25,92,98,2.35
135,Henties Bay,NA,2021-01-09 16:34:18,-22.116,14.2845,65.28,84,79,6.76
136,Sur,OM,2021-01-09 16:34:18,22.5667,59.5289,65.12,43,0,17.56
137,Ballina,AU,2021-01-09 16:34:19,-28.8667,153.5667,69.01,94,90,8.05
138,Salalah,OM,2021-01-09 16:34:19,17.0151,54.0924,75.2,27,0,9.22
139,Victoria,HK,2021-01-09 16:34:19,22.2855,114.1577,55.0,32,98,1.99
140,Hasaki,JP,2021-01-09 16:34:19,35.7333,140.8333,28.4,69,20,4.61
141,Trelew,AR,2021-01-09 16:34:19,-43.249,-65.3051,83.32,13,7,9.71
142,Colac,AU,2021-01-09 16:34:19,-38.3333,143.5833,55.99,73,77,3.13
143,Durant,US,2021-01-09 16:31:48,33.994,-96.3708,37.99,70,81,4.03
144,Ginir,ET,2021-01-09 16:34:19,7.1333,40.7,60.12,36,1,2.26
145,Hermanus,ZA,2021-01-09 16:34:19,-34.4187,19.2345,72.0,70,7,5.99
146,Mount Isa,AU,2021-01-09 16:30:49,-20.7333,139.5,75.2,46,75,9.82
