City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Bilma,NE,18.6853,12.9164,81.75,15,0,2.21,clear sky
175,Haines Junction,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
176,Barentsburg,SJ,78.2186,15.6401,21.2,73,75,11.5,light snow
177,Portland,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
178,Mamlyutka,KZ,43.0369,74.7114,1.4,92,18,6.71,mist
179,Saint George,US,39.1834,-84.5333,30.99,69,90,5.75,overcast clouds
180,Richards Bay,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
181,Tezu,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
182,Ray,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
183,Limbang,MY,4.75,115.0,75.2,94,90,2.3,moderate rain
184,Deputatskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
185,Hinton,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
186,Yulara,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
187,Zambrow,PL,52.9855,22.2432,34.0,85,100,7.0,light snow
188,Namanyere,TZ,-7.5167,31.05,63.01,92,100,1.48,overcast clouds
189,Kaitangata,NZ,-46.6,168.3333,51.01,89,97,4.0,overcast clouds
190,Kindu,CD,-3.4833,23.4333,75.34,79,76,1.07,broken clouds
191,Batagay-Alyta,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
192,East London,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
193,Axim,GH,4.8699,-2.2405,83.32,72,90,9.51,overcast clouds
194,Karratha,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
195,Laguna,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
196,Iranshahr,AZ,38.5,48.6667,42.8,87,40,5.75,mist
197,Wakkanai,JP,28.3667,129.4833,49.3,73,72,17.72,broken clouds
198,Tessalit,ML,20.1986,1.0114,95.11,9,4,12.82,clear sky
199,Hazorasp,UZ,41.3194,61.0742,30.2,55,27,11.5,scattered clouds
200,Gat,IL,31.61,34.7642,68.0,58,29,1.39,scattered clouds
201,Chokurdakh,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
202,Nkhata Bay,MW,-11.6066,34.2907,77.94,76,76,11.86,broken clouds
203,Krasnyy Yar,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
204,Vallenar,CL,-45.5752,-72.0662,59.0,51,75,6.91,moderate rain
205,Kaniama,CD,-3.4833,23.4333,75.34,79,76,1.07,broken clouds
206,Caravelas,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
207,Bethel,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
208,Sahbuz,AZ,39.4072,45.5739,21.2,93,90,0.76,mist
209,Vila Franca Do Campo,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
210,Peniche,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
211,Ormara,PK,25.2088,64.6357,67.53,33,0,6.78,clear sky
212,Cascais,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
213,Kita,ML,20.1986,1.0114,95.11,9,4,12.82,clear sky
214,Edendale,NZ,-46.6,168.3333,51.01,89,97,4.0,overcast clouds
215,Darhan,MN,49.4867,105.9228,-4.97,84,97,5.57,overcast clouds
216,Avarua,CK,-21.2078,-159.775,75.2,88,75,1.14,broken clouds
217,Macon,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
218,Durgapur,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
219,Narsaq,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
220,Barrow,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
221,Pomabamba,PE,-5.5569,-80.8222,78.89,57,25,7.31,scattered clouds
222,Trinidad,UY,-33.6971,-53.4616,76.84,49,1,10.27,clear sky
223,Ratanpur,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
224,Barraute,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
225,Liverpool,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
226,Nanortalik,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
227,Malwan,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
228,Luanda,AO,-15.1961,12.1522,72.12,72,100,8.48,overcast clouds
229,Puerto Escondido,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
230,Hilo,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
231,Pombia,IT,45.653,8.6336,39.2,56,0,4.61,clear sky
232,Lasa,CN,30.634,117.8517,30.45,78,100,2.24,overcast clouds
233,Champerico,GT,14.5094,-92.1933,78.8,88,20,2.77,few clouds
234,Nizhneyansk,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
235,Putnam,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
236,Severo-Kurilsk,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
237,Guangyuan,CN,30.634,117.8517,30.45,78,100,2.24,overcast clouds
238,Hay River,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
